,noise_case,paramid,parameter,parameter_value,split,n_train,interp_type,ncomp,gp_noise,gp_length,gp_const,dl_alpha,rmse,maxerr,global_mean_minerr,global_mean_maxerr,global_mean_rmse,global_max_rmse,global_var_rmse
94,theo,,,,0,71,GP,30,0.001,10.0,10.0,,,,4.4408920985006264e-17,0.033875281412731426,0.020067762629539087,0.05048024380120143,0.00014606624785894244
95,theo,,,,0,71,GP,30,0.1,10.0,10.0,,,,7.771561172376095e-17,0.034886722637332675,0.02060383671939905,0.05203589452161511,0.000152692137930367
96,theo,,,,0,71,GP,31,1e-05,1.0,10.0,,,,8.141635513917814e-17,0.03385691811479934,0.020043485829109864,0.05004309685054476,0.00014532222681482522
97,theo,,,,0,71,GP,31,0.001,1.0,10.0,,,,4.810966440042345e-17,0.03385674070731662,0.020043490101622544,0.050043114092785175,0.00014532226553549323
98,theo,,,,0,71,GP,31,0.1,1.0,10.0,,,,7.401486830834377e-17,0.03496296410976054,0.020652745401027874,0.05138198520826813,0.0001520871299682686
99,theo,,,,0,71,GP,31,1e-05,4.0,10.0,,,,5.921189464667501e-17,0.03421861558025152,0.020175704815769368,0.05622326524891661,0.00015691435217918203
100,theo,,,,0,71,GP,31,0.001,4.0,10.0,,,,8.881784197001253e-17,0.03421821291423149,0.020175699674425254,0.056223184825116825,0.00015691420566065202
101,theo,,,,0,71,GP,31,0.1,4.0,10.0,,,,4.810966440042345e-17,0.03496300997617841,0.02065274720329967,0.051382016673214154,0.0001520872081652638
102,theo,,,,0,71,GP,31,1e-05,7.0,10.0,,,,9.992007221626409e-17,0.033857450631685646,0.020043740721239614,0.05004000826334476,0.000145318657544461
103,theo,,,,0,71,GP,31,0.001,7.0,10.0,,,,1.1472304587793285e-16,0.03385746816781134,0.02004372568938183,0.05004001029157968,0.00014531860374134099
104,theo,,,,0,71,GP,31,0.1,7.0,10.0,,,,4.070817756958907e-17,0.03385420254447479,0.020046584475537515,0.04321900079304725,0.00013811236961616747
105,theo,,,,0,71,GP,31,1e-05,10.0,10.0,,,,1.0732155904709847e-16,0.03385741564645629,0.020043763546900576,0.05003964751707677,0.0001453182144588303
106,theo,,,,0,71,GP,31,0.001,10.0,10.0,,,,5.921189464667501e-17,0.03421861355268741,0.020175706222246046,0.05622327687864594,0.00015691437940954563
107,theo,,,,0,71,GP,31,0.1,10.0,10.0,,,,4.810966440042345e-17,0.03496282522606338,0.02065274695991589,0.051381970935034285,0.0001520871190799615
108,theo,,,,0,71,GP,32,1e-05,1.0,10.0,,,,9.251858538542972e-17,0.033830973537043806,0.020020404166761357,0.04962943577945164,0.00014463009374907456
109,theo,,,,0,71,GP,32,0.001,1.0,10.0,,,,1.1472304587793285e-16,0.03383098030497551,0.02002040259733283,0.049629433694170014,0.0001446300798058839
110,theo,,,,0,71,GP,32,0.1,1.0,10.0,,,,5.551115123125784e-17,0.03388920977637643,0.020068234828866906,0.042499249328131844,0.00013760368962894027
111,theo,,,,0,71,GP,32,1e-05,4.0,10.0,,,,1.258252761241844e-16,0.03419762195786946,0.020157378650484403,0.05581454993328305,0.00015610598597675055
112,theo,,,,0,71,GP,32,0.001,4.0,10.0,,,,7.771561172376095e-17,0.034197620690627296,0.02015738023728412,0.05581452707842808,0.00015610594588611143
113,theo,,,,0,71,GP,32,0.1,4.0,10.0,,,,4.070817756958907e-17,0.03504751150056111,0.020705199352049796,0.05078828963960339,0.00015161854804296565
114,theo,,,,0,71,GP,32,1e-05,7.0,10.0,,,,8.141635513917814e-17,0.03419764411410672,0.020157373671153944,0.05581479110888891,0.0001561063998250939
115,theo,,,,0,71,GP,32,0.001,7.0,10.0,,,,9.62193288008469e-17,0.03383146434752043,0.020020630670226268,0.049626566966802864,0.00014462670682949808
116,theo,,,,0,71,GP,32,0.1,7.0,10.0,,,,8.141635513917814e-17,0.0338893076125525,0.020068241063629845,0.0424989501614895,0.00013760308307882976
117,theo,,,,0,71,GP,32,1e-05,10.0,10.0,,,,1.0362081563168128e-16,0.034197526059583296,0.02015737472979757,0.05581481749756208,0.00015610644465234965
118,theo,,,,0,71,GP,32,0.001,10.0,10.0,,,,1.3322676295501878e-16,0.03383108814245225,0.020020468266226242,0.049628851407707265,0.00014462944019680513
119,theo,,,,0,71,GP,32,0.1,10.0,10.0,,,,9.251858538542972e-17,0.03388913918375004,0.02006824517822508,0.04249891790650779,0.0001376031039430907
120,theo,,,,1,71,GP,23,1e-05,1.0,10.0,,,,3.700743415417188e-17,0.073897658197515,0.0401765809377902,0.33682470324984615,0.0034486573970543043
121,theo,,,,1,71,GP,23,0.001,1.0,10.0,,,,2.2204460492503132e-17,0.07536921232765699,0.04106948257970819,0.3464744470625652,0.003672238025303615
122,theo,,,,1,71,GP,23,0.1,1.0,10.0,,,,2.590520390792032e-17,0.07671018247314439,0.041914874534791105,0.3609053835252328,0.003988995263744406
123,theo,,,,1,71,GP,23,1e-05,4.0,10.0,,,,5.181040781584064e-17,0.07389787231106958,0.04017667325070515,0.33682632357396863,0.0034486909235413856
124,theo,,,,1,71,GP,23,0.001,4.0,10.0,,,,4.070817756958907e-17,0.07389772143557496,0.04017655186745797,0.3368241656848068,0.003448646389164941
125,theo,,,,1,71,GP,23,0.1,4.0,10.0,,,,5.551115123125783e-17,0.07537094027650279,0.041104658465796855,0.35262043220213246,0.0037857354602851396
126,theo,,,,1,71,GP,23,1e-05,7.0,10.0,,,,3.700743415417188e-17,0.07389764659644223,0.04017654376446365,0.33682385986443236,0.0034486405756649955
127,theo,,,,1,71,GP,23,0.001,7.0,10.0,,,,3.3306690738754695e-17,0.07536466822928013,0.041066734752486775,0.34643946006160303,0.0036714420636037226
128,theo,,,,1,71,GP,23,0.1,7.0,10.0,,,,5.921189464667501e-17,0.07671033826163078,0.041914975642867926,0.36090560068312455,0.003989005413373453
129,theo,,,,1,71,GP,23,1e-05,10.0,10.0,,,,5.181040781584064e-17,0.07389771755526629,0.04017657751744692,0.3368246400225929,0.0034486560959156288
130,theo,,,,1,71,GP,23,0.001,10.0,10.0,,,,1.258252761241844e-16,0.07389767070329487,0.04017654403902393,0.3368240465162415,0.003448643847526204
131,theo,,,,1,71,GP,23,0.1,10.0,10.0,,,,7.031412489292658e-17,0.07621450535120688,0.04165302814610372,0.35742117653776934,0.003906461680448904
132,theo,,,,1,71,GP,24,1e-05,1.0,10.0,,,,1.1102230246251566e-17,0.07532300729717575,0.041069485684924745,0.34648009962625925,0.0036723542028717126
133,theo,,,,1,71,GP,24,0.001,1.0,10.0,,,,2.590520390792032e-17,0.07532290992345254,0.04106948280234415,0.3464801348009773,0.003672354664694098
134,theo,,,,1,71,GP,24,0.1,1.0,10.0,,,,3.700743415417188e-17,0.07763976796906628,0.04253000221021812,0.3713461355895887,0.004227602310783337
135,theo,,,,1,71,GP,24,1e-05,4.0,10.0,,,,4.4408920985006264e-17,0.07378487055589802,0.04013314781355345,0.3364724458793468,0.0034400818859426615
136,theo,,,,1,71,GP,24,0.001,4.0,10.0,,,,8.141635513917814e-17,0.07378479329069276,0.04013313164035957,0.3364721767703205,0.003440076176682135
137,theo,,,,1,71,GP,24,0.1,4.0,10.0,,,,3.3306690738754695e-17,0.07633890010785649,0.04174530624244745,0.36317709182489877,0.0040220897398343305
138,theo,,,,1,71,GP,24,1e-05,7.0,10.0,,,,2.960594732333751e-17,0.07532596333178838,0.04107119047096574,0.3465024446356223,0.0036728606397676967
139,theo,,,,1,71,GP,24,0.001,7.0,10.0,,,,3.700743415417188e-17,0.07378482866291473,0.0401331330146406,0.33647218099425485,0.0034400763976380607
140,theo,,,,1,71,GP,24,0.1,7.0,10.0,,,,1.258252761241844e-16,0.07763984918314651,0.04253007634206018,0.37134697476175166,0.004227623460403062
141,theo,,,,1,71,GP,24,1e-05,10.0,10.0,,,,6.29126380620922e-17,0.07378474681957134,0.04013304555904337,0.33647109316461493,0.003440052527958763
142,theo,,,,1,71,GP,24,0.001,10.0,10.0,,,,5.181040781584064e-17,0.07378491444435825,0.040133134631117916,0.336472161571385,0.0034400761822628847
143,theo,,,,1,71,GP,24,0.1,10.0,10.0,,,,4.4408920985006264e-17,0.07763987776843953,0.04253007903804261,0.37134700897491424,0.004227624254308843
144,theo,,,,1,71,GP,25,1e-05,1.0,10.0,,,,3.700743415417188e-17,0.07379667222479,0.04013313861213926,0.33647614013591465,0.00344015495960538
